POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,X,Y,VERSAO,DATUM_EMP,OPERACAO,FUSO_AG,PROPRIETARIO,ORIGEM,OBJECTID,UF,CEG,latitude,longitude
1.85,121.25,80.0,82.5,2022-10-24 15:37:27,30739,Caititu,CAI-083,754125.0,8398879.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Caititu S.A.,,1,BA,EOLCVBA030739-4-01,-14.470967592999955,-42.642494529999965
2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30512,Dreen Boa Vista,BV07,175728.0,9433802.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),GE Boa Vista S.A.,,2,RN,EOLCVRN030512-0-01,-5.1157539649999535,-35.924468564999984
2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30497,Renascença V,15,184692.0,9417056.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Renascença V Energias Renováveis S.A.,,3,RN,EOLCVRN030497-2-01,-5.267423835999978,-35.84437289899995
2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30864,SM,1,176028.0,9397684.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Santa Maria Energias Renováveis S.A.,,4,RN,EOLCVRN030864-1-01,-5.442081616999928,-35.92329442299996
2.1,143.7,96.2,95.0,2022-10-24 15:37:27,30295,Colônia,AEG-08,513347.87,9608681.26,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Geradora Eólica Colônia S.A.,,5,CE,EOLCVCE030295-3-01,-3.54033037399995,-38.87982615699997
0.8,99.6,75.6,48.0,2022-10-24 15:37:27,29086,Coelhos I,14,281977.0,9272712.0,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Vale dos Ventos Geradora Eólica S.A,,6,PB,EOLCVPB029086-6-01,-6.576232240999957,-34.972166641999934
2.0,147.2,97.2,100.0,2022-10-24 15:37:27,30756,Cerro Chato VI,1,626520.757965,6593026.98761,Versão Válida,SIRGAS2000,Sim,UTM 21 S (MER -57),Eólica Cerro Chato VI S.A.,,7,RS,EOLCVRS030756-4-01,-30.789066525999942,-55.67766244799998
2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28631,Praia Formosa,AEG 34,272911.0,9678652.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),CPFL Energias Renováveis S.A.,,8,CE,EOLCVCE028631-1-01,-2.905443927999954,-41.042959578999955
2.0,147.2,97.2,100.0,2022-10-24 15:37:27,30756,Cerro Chato VI,8,627337.46,6591690.658,Versão Válida,SIRGAS2000,Sim,UTM 21 S (MER -57),Eólica Cerro Chato VI S.A.,,9,RS,EOLCVRS030756-4-01,-30.801034310999967,-55.66896247999995
1.6,121.0,80.0,82.0,2022-10-24 15:37:27,30301,Morro dos Ventos I,AG_09_MV1,186686.02,9405777.69,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Desa Morro dos Ventos I S.A,,10,RN,EOLCVRN030301-1-01,-5.369410412999969,-35.82686507699998
